Stock,BY,Female #,Age,Reproductive Effort,Estimated Fecundity ,L95%,U95%,Green egg avg weight,Comments
I-205,2011,F-36,4,15.1,1585,1600,1570,0.3050,
I-205,2011,F-37,4,17.2,2096,2126,2066,0.2710,
I-205,2011,F-38,4,16.6,2885,2905,2865,0.2740,
I-205,2011,F-39,4,13.0,1885,1952,1818,0.3230,
I-205,2011,F-40,4,13.0,1435,1453,1417,0.3010,
I-205,2011,F-41,4,7.5,1267,1279,1255,0.2930,
I-205,2011,F-42,4,16.0,2060,2097,2023,0.2750,
I-205,2011,F-43,4,16.3,2159,2194,2124,0.2770,
I-205,2011,F-44,4,19.3,1700,1721,1679,0.3490,
I-205,2011,F-45,4,17.1,2016,2037,1995,0.3020,
I-205,2011,F-46,4,16.5,2726,2768,2684,0.3230,
I-205,2011,F-47,4,17.2,3580,3649,3511,0.2950,
I-205,2011,F-48,4,16.1,1524,1535,1513,0.3160,
I-205,2011,F-49,4,13.4,2016,2054,1978,0.2790,
I-205,2011,F-50,4,14.5,2385,2394,2376,0.3110,
I-205,2011,F-51,5,14.0,1855,1884,1826,0.2900,
I-205,2011,F-52,4,14.3,2699,2729,2669,0.2980,
I-205,2011,F-53,4,14.9,1739,1764,1714,0.3080,
I-205,2011,F-54,4,13.2,2015,2063,1967,0.2810,
I-205,2011,F-55,4,17.3,3598,3657,3539,0.2810,
I-205,2011,F-56,4,10.2,1051,1071,1031,0.3060,
I-205,2011,F-57,4,14.3,1623,1640,1606,0.3060,
Lower Gorge,2012,F-1,4,19.4,2745,2858,2632,0.2460,
Lower Gorge,2012,F-2,4,14.3,3232,3283,3181,0.2680,
Lower Gorge,2012,F-3,4,14.5,3702,3716,3688,0.2400,
Lower Gorge,2012,F-4,4,15.6,2520,2563,2477,0.3440,
Lower Gorge,2012,F-5,4,12.1,3614,3638,3590,0.3720,
Lower Gorge,2012,F-6,5,19.4,3240,3325,3155,0.2370,
Lower Gorge,2012,F-7,4,20.4,3011,3056,2966,0.3120,
Lower Gorge,2012,F-8,4,17.0,3816,3864,3768,0.3010,
Lower Gorge,2012,F-9,4,17.3,2777,2800,2754,0.3530,
Lower Gorge,2012,F-10,3,16.5,2312,2336,2288,0.3800,
Lower Gorge,2012,F-11,4,17.0,2500,2514,2486,0.2550,
Lower Gorge,2012,F-12,5,18.6,2884,2904,2864,0.3390,
Lower Gorge,2012,F-13,4,14.3,2855,2889,2821,0.2720,
Lower Gorge,2012,F-14,88,17.7,2562,2579,2545,0.3730,
Lower Gorge,2012,F-15,3,16.8,2173,2199,2147,0.3340,
Lower Gorge,2012,F-16,5,20.1,2383,2408,2358,0.3370,
Lower Gorge,2012,F-17,5,17.5,2859,2879,2839,0.3280,
Lower Gorge,2012,F-18,4,18.3,2691,2720,2662,NA,
Lower Gorge,2012,F-19,5,14.6,2120,2150,2090,0.3160,
Lower Gorge,2012,F-20,5,13.1,1985,2054,1916,NA,
Lower Gorge,2012,F-21,4,19.5,2342,2375,2309,0.3350,
Lower Gorge,2012,F-22,4,12.9,2085,2104,2066,0.3130,
Lower Gorge,2012,F-23,5,16.4,2300,2329,2271,NA,
Lower Gorge,2012,F-24,5,10.3,1469,1486,1452,0.4050,
Lower Gorge,2013,F-1,5,12.3,1851,1874,1828,0.3420,
Lower Gorge,2013,F-2,4,17.1,3122,3205,3039,0.3130,
Lower Gorge,2013,F-3,5,20.2,3562,3614,3510,0.2670,
Lower Gorge,2013,F-4,3,16.5,2206,2242,2170,0.2350,
Lower Gorge,2013,F-5,4,13.5,1882,1960,1804,0.2910,
Lower Gorge,2013,F-6,3,13.7,1261,1278,1244,0.2970,
Lower Gorge,2013,F-7,3,16.7,2423,2453,2393,0.2540,
Lower Gorge,2013,F-8,3,12.2,1840,1885,1795,0.2730,
Lower Gorge,2013,F-9,3,14.2,2072,2097,2047,0.2770,
Lower Gorge,2013,F-10,3,14.2,2085,2125,2045,0.3010,
Lower Gorge,2013,F-11,3,16.0,2058,2092,2024,0.2600,
Lower Gorge,2013,F-12,3,19.9,2996,3036,2956,0.2690,
Lower Gorge,2013,F-13,4,14.8,2306,2362,2250,0.2330,
Lower Gorge,2013,F-14,3,14.7,2483,2514,2452,0.2750,
Lower Gorge,2013,F-15,3,15.3,2404,2428,2380,0.2950,
Lower Gorge,2013,F-16,3,14.3,1867,1895,1839,0.2910,
Lower Gorge,2013,F-17,3,16.2,1957,1980,1934,0.2800,
Lower Gorge,2013,F-18,3,12.9,1854,1878,1830,0.2470,
Lower Gorge,2013,F-19,3,14.0,1323,1397,1249,0.2530,
Lower Gorge,2013,F-20,3,NA,NA,NA,NA,NA,green female
Lower Gorge,2013,F-21,88,12.0,1467,1511,1423,0.2650,
Lower Gorge,2013,F-22,3,14.5,1619,1642,1596,0.2900,
Lower Gorge,2013,F-23,3,13.9,2236,2276,2196,0.2440,
Lower Gorge,2013,F-24,3,16.0,2344,2388,2300,0.2760,
I-205,2013,F-1,4,14.9,3397,3493,3301,0.3250,
I-205,2013,F-2,88,17.3,3005,3012,2998,0.2930,
I-205,2013,F-3,4,17.1,2798,2814,2782,0.2880,
I-205,2013,F-4,4,16.2,2534,2570,2498,0.3220,
I-205,2013,F-5,5,15.7,2266,2349,2183,0.4080,
I-205,2013,F-6,4,17.6,3202,3232,3172,0.2850,
I-205,2013,F-7,3,18.7,2995,3102,2888,0.2690,
I-205,2013,F-8,4,16.9,2506,2557,2455,0.3310,
I-205,2013,F-9,5,15.4,2588,2615,2561,0.3040,
I-205,2013,F-10,4,18.8,2564,2618,2510,0.3120,
I-205,2013,F-11,4,6.7,858,872,844,0.3280,
I-205,2013,F-12,4,11.8,2340,2406,2274,0.2520,
I-205,2013,F-13,3,16.5,1802,1846,1758,0.2770,
I-205,2013,F-14,5,15.5,3103,3130,3076,0.3170,
I-205,2013,F-15,88,14.6,NA,NA,NA,0.2790,doubled up in heath trays
I-205,2013,F-16,4,12.7,NA,NA,NA,0.3030,doubled up in heath trays
I-205,2013,F-17,4,16.4,NA,NA,NA,0.3380,doubled up in heath trays
I-205,2013,F-18,4,12.2,NA,NA,NA,0.3190,doubled up in heath trays
I-205,2013,F-19,3,14.4,NA,NA,NA,0.2520,doubled up in heath trays
I-205,2013,F-20,3,14.9,NA,NA,NA,0.2340,doubled up in heath trays
I-205,2013,F-21,5,12.2,NA,NA,NA,0.3260,doubled up in heath trays
I-205,2013,F-22,4,18.0,NA,NA,NA,0.2740,doubled up in heath trays
I-205,2013,F-23,3,14.7,NA,NA,NA,0.2930,doubled up in heath trays
I-205,2013,F-24,4,11.5,NA,NA,NA,0.3510,doubled up in heath trays
I-205,2013,F-25,3,15.0,NA,NA,NA,0.2770,doubled up in heath trays
I-205,2013,F-26,3,14.4,NA,NA,NA,0.2240,doubled up in heath trays
I-205,2013,F-27,5,15.8,NA,NA,NA,0.3230,doubled up in heath trays
I-205,2013,F-28,3,15.9,NA,NA,NA,0.2570,doubled up in heath trays
I-205,2013,F-29,3,14.4,NA,NA,NA,0.2560,doubled up in heath trays
I-205,2013,F-30,4,10.4,NA,NA,NA,0.3230,doubled up in heath trays
I-205,2013,F-31,3,15.1,NA,NA,NA,0.2360,doubled up in heath trays
I-205,2013,F-32,5,13.0,NA,NA,NA,0.2940,doubled up in heath trays
I-205,2013,F-33,4,15.6,NA,NA,NA,0.3190,doubled up in heath trays
I-205,2013,F-34,3,12.6,NA,NA,NA,0.2770,doubled up in heath trays
I-205,2013,F-35,3,14.1,NA,NA,NA,0.3150,doubled up in heath trays
I-205,2013,F-36,5,11.6,NA,NA,NA,0.3410,doubled up in heath trays
I-205,2013,F-37,3,14.5,NA,NA,NA,0.2730,doubled up in heath trays
