Species,LifeStage,Return.Yr.,Strata,Location.Reach,Disposition,Origin,Sex,Age,Count
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Female,Age-3,1
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Female,Age-5,1
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Male,Age-3,175
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Male,Age-4,23
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Male,Age-5,1
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Male,Age-3,3
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Male,Age-3,8
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Channel,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Lewis_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Male,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Male,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Male,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Male,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Creek,Duncan_Channel,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Hatchery,Duncan_Hatchery,Female,Age-2,0
